ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-09-23T00:00:00.000Z,3TYLC5LN4RT007637,2024,Tacoma TRD Sport,Available,False,At dealer,51667,ICE CAP,FABRIC BOULDER/BLACK (SMOKE SILVER),205,Toyota of Fort Worth,https://www.toyotaoffortworth.com,False,50 State Emissions | Bed Extender | Bed Step (non-powered)** | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | TFW Protection Package | Vehicle Fueling | Vehicle Protection Package
2024-09-29T00:00:00.000Z,3TYLC5LN4RT008495,2024,Tacoma TRD Off-Road,DealerHold,False,At dealer,52511,SOLAR OCTANE*,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),178,Toyota of Fayetteville,https://www.toyotaoffayetteville.com,True,50 State Emissions | ARB Rear Tow Hooks** | Bed Extender | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Lemon Law Book | Mudguards | Owner's Portfolio | PDS - Pre-Delivery Services | Predator Drop Step** | Premium Paint Charge | Spray-On Bed Liner** | TRD Off Road Package: | Tailgate Insert - Black | Vehicle Fueling | Vehicle Protection Package
2024-10-18,3TYLC5LN4RT008609,2024,Tacoma TRD Off-Road,,False,At dealer,58850,BRONZE OXIDE,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),425,Principle Toyota,https://www.principletoyota.com,False,50 State Emissions | Bed Rack HD Kit w/ Molle Panels[installed_msrp] | Black Emblem Overlays[installed_msrp] | Mudguards | TRD Front Skid Plate[installed_msrp] | TRD Off-Road Upgrade Package<br>
2024-10-22T00:00:00.000Z,3TYLC5LN4RT009758,2024,Tacoma TRD Off-Road,Available,True,At dealer,52366,SUPERSONIC RED*,FABRIC 3 BLACK/WHITE,356,Toyota of Cedar Park,https://www.toyotaofcedarpark.com,True,14-in. Audio Multimedia Display | 50 State Emissions | Ball Mount | Bed Extender | Blackout Package | Connectivity Kit | Dash Cam | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Predator Drop Step | Premium Paint Charge | TRD Off Road Package: | Vehicle Fueling | Vehicle Protection Premium Package
2024-10-30T00:00:00.000Z,3TYLC5LN4RT009808,2024,Tacoma TRD Off-Road,DealerHold,False,Factory to port,57539,BLACK,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),369,Toyota of North Austin,https://www.toyotaofnorthaustin.com,False,14-in. Audio Multimedia Display (with TRD Off-Road Upgrade Package) | 50 State Emissions | ARB Rear Tow Hooks** | Ball Mount | Bed Scene Lighting** | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | TRD Off-Road Upgrade Package<br> | Tailgate Insert - Black | Toyota of North Austin Appearance Package | Vehicle Fueling | Vehicle Protection Premium Package
2024-11-05,3TYLC5LN4RT009890,2024,Tacoma TRD Pro,DealerHold,False,Port to dealer,66793,Black,SOFTEX + PRINT BLACK,437,Jerry Ackerman Toyota,https://www.ackermantoyota.com,False,"50 State Emissions | Ball Mount[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards | Paint Protection Film - <br>Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Spray On Bedliner[installed_msrp] | TRD PRO Package | Tailgate Insert - Black[installed_msrp]"
2024-11-21T00:00:00.000Z,3TYLC5LN4RT010117,2024,Tacoma Limited,Available,False,Factory to port,60522,WIND CHILL PEARL*,EB BLACK,178,Pat Lobb Toyota of McKinney,https://www.toyotaofmckinney.com,False,50 State Emissions | Adaptive Variable Suspension (AVS) | Ball Mount | Bed Step (non-powered)** | Connectivity Kit | Dash Cam | Illuminated Front Emblem | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Premium Paint Charge | Spray-On Bed Liner** | Vehicle Fueling | Vehicle Protection Premium Package:
2024-11-19T00:00:00.000Z,3TYLC5LN4RT010120,2024,Tacoma Limited,DealerHold,False,Factory to port,59458,UNDERGROUND,EB BLACK,420,Don McGill Toyota,https://www.donmcgilltoyota.com,False,50 State Emissions | Adaptive Variable Suspension (AVS) | Bed Step (non-powered)** | Connectivity Kit | Dash Cam | Don McGill Protection Package | MODEL PREMIUM | Mudguards | Owner's Portfolio | Spray-On Bed Liner** | Vehicle Fueling | Vehicle Protection Package:
2024-11-18T00:00:00.000Z,3TYLC5LN4RT010599,2024,Tacoma TRD Sport,Available,False,Factory to port,51952,CELESTIAL SILVER METALLIC,FABRIC BOULDER/BLACK (SMOKE SILVER),11,Bob Howard Toyota,https://www.bobhowardtoyota.com,False,14-in. Audio Multimedia Display | 50 State Emissions | Bed Step (non-powered)** | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | Owner's Portfolio | PDS - Pre-Delivery Services | Predator Drop Step** | Spray-On Bed Liner** | Tailgate Insert - Black | Vehicle Fueling | Vehicle Protection Premium Package
2024-11-23T00:00:00.000Z,3TYLC5LN4RT010814,2024,Tacoma TRD Pro,DealerHold,False,Factory to port,67990,TERRA W/ BLACK ROOF*,SOFTEX + PRINT BLACK,425,Shottenkirk Toyota San Antonio,https://www.shottenkirktoyotasanantonio.com,False,"""TRD Pro"" Tailgate Inserts | 50 State Emissions | Ball Mount | Bed Scene Lighting** | Connectivity Kit | Dash Cam | Mudguards | Owner's Portfolio | PDS - Pre-Delivery Services | Spray-On Bed Liner** | TRD PRO Package | VIP Package | Vehicle Fueling | Vehicle Protection Package"
2024-11-22T00:00:00.000Z,3TYLC5LN4RT010893,2024,Tacoma Limited,Available,False,Factory to port,60322,SUPERSONIC RED*,EB BLACK,430,Mike Calvert Toyota,https://www.mikecalverttoyota.com,False,50 State Emissions | Adaptive Variable Suspension (AVS) | Ball Mount | Bed Step (non-powered)** | Connectivity Kit | Dash Cam | Illuminated Front Emblem | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Premium Paint Charge | Spray-On Bed Liner** | Vehicle Fueling | Vehicle Protection Package:
