ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-09-23,JTENU5JR6R6308199,2024,4Runner SR5 Premium,DealerHold,False,At dealer,47474,Underground,Black/Graphite Softex® [softex],216,Fremont Toyota,https://www.fremonttoyotalander.com,False,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | SR5 Premium Package w/ Softex
2024-09-17,JTENU5JR7R6302217,2024,4Runner SR5 Premium,DealerHold,False,At dealer,50444,Underground,Black/Graphite Softex® [softex],7,Larry H. Miller Toyota Murray,https://www.larryhmillertoyota.com,False,17-In. Cast Matte Black Pro Wheel[installed_msrp] | 50 State Emissions | Blackout Emblem Overlays[installed_msrp] | Carpet Floor Mats & Carpet Cargo Mat[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Roof Rack Cross Bars[installed_msrp] | SR5 Premium Package w/ Softex | Third Row Seating - Softex
Unknown,JTENU5JR7R6303206,2024,4Runner SR5 Premium,DealerHold,True,Port to dealer,49164,Ice Cap,Black/Graphite Softex® [softex],379,AutoNation Toyota Arapahoe,https://www.autonationtoyotaarapahoe.com,True,17-In. Cast Matte Black Pro Wheel[installed_msrp] | 50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Roof Rack Cross Bars[installed_msrp] | SR5 Premium Package w/ Softex
2024-08-30,JTENU5JR7R6303805,2024,4Runner SR5 Premium,,False,At dealer,48334,Underground,Black/Graphite Softex® [softex],369,Mountain States Toyota,https://www.mountainstatestoyota.com,False,50 State Emissions | Carpet Floor Mats & Carpet Cargo Mat[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Premium Package | Third Row Seating - Softex
2024-08-14,JTENU5JR8R6292782,2024,4Runner SR5 Premium,,False,At dealer,47993,Ice Cap,Black/Graphite Softex® [softex],342,Webb Toyota,https://www.webbtoyota.com,True,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | All-Weather Floor Liners - Black | Integrated Dashcam[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Roof Rack Cross Bars[installed_msrp] | Running Boards - Chrome Detail[installed_msrp] | SR5 Premium Package w/ Softex | Vehicle Protection Package
Unknown,JTENU5JR8R6299098,2024,4Runner SR5 Premium,DealerHold,False,At dealer,49608,Underground,Black/Graphite Softex® [softex],492,Right Toyota,https://www.righttoyota.com,False,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Dual Power Port/Quick Charging Cable Package[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Predator Tube Step[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | SR5 Premium Package w/ Softex | Third Row Seating - Softex
2024-09-25,JTENU5JR8R6308141,2024,4Runner SR5 Premium,,True,At dealer,50107,Classic Silver Metallic,Black/Graphite Softex® [softex],425,Dolan Toyota,https://www.dolanrenotoyota.com,False,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Dual Power Port/Quick Charging Cable Package[installed_msrp] | Integrated Dashcam[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Predator Tube Step[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | SR5 Premium Package w/ Softex | Third Row Seating - Softex
2024-03-15,JTENU5JR9R6255529,2024,4Runner SR5 Premium,DealerHold,False,At dealer,49464,Ice Cap,Black/Graphite Softex® [softex],200,Elko Toyota,https://www.elkotoyota.com,False,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Roof Rack Cross Bars[installed_msrp] | Running Boards | SR5 Premium Package w/ Softex | TRD Front Skid Plate[installed_msrp] | Third Row Seating - Softex
2024-10-03,JTENU5JR9R6303563,2024,4Runner SR5 Premium,DealerHold,False,Port to dealer,51622,Underground,Black/Graphite Softex® [softex],492,Right Toyota,https://www.righttoyota.com,False,17-In. Cast Matte Black Pro Wheel[installed_msrp] | 50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cargo Cover[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Premium Package | Roof Rack Cross Bars[installed_msrp] | Running Boards - Chrome Detail[installed_msrp] | Third Row Seating - Softex | USB Dual Power Port[installed_msrp]
2024-09-19,JTENU5JR9R6303627,2024,4Runner SR5 Premium,,False,At dealer,51608,Ice Cap,Black/Graphite Softex® [softex],366,AutoNation Toyota Las Vegas,https://www.autonationtoyotalasvegas.com,True,17-In. Cast Matte Black Pro Wheel[installed_msrp] | 50 State Emissions | AN Dealer Added Options | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Integrated Dashcam[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Predator Tube Step[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | SR5 Premium Package w/ Softex | Third Row Seating - Softex
